qid,label,enwiki_title,domain,p31_classes,p31_qids,p910_categories,p910_count,wikipedia_categories,p31_count,category_count,p279_depth,wp_depth,p910_depth,p910_matched_category,overlap_count,matched_categories,overlap_ratio
Q209516,Eurasian harvest mouse,Eurasian_harvest_mouse,animals,Animalia|taxon,Q729|Q16521,Animalia|Taxa,2,IUCN Red List least concern species|Mammals of Azerbaijan|Mammals of Central Asia|Mammals of China|Mammals of East Asia|Mammals of Japan|Mammals of Korea|Mammals of Mongolia|Mammals of Russia|Mammals of Turkey|Mammals of the Middle East|Micromys|Rats of Asia|Rodents of Europe,2,14,0,5,5,Taxa,0,,0.0
Q2212116,Blackbelly salamander,Blackbelly_salamander,animals,Animalia|taxon,Q729|Q16521,Animalia|Taxa,2,Amphibians described in 1840|Desmognathus|Endemic amphibians of the United States|IUCN Red List least concern species,2,4,0,5,5,Taxa,0,,0.0
Q251390,Beast of Dean,Beast_of_Dean,animals,Animalia,Q729,Animalia,1,English legendary creatures|Gloucestershire folklore|Mythological pigs|Unguled cryptids,1,4,0,-1,-1,,0,,0.0
Q1365,Swept Away,Swept_Away_(1974_film),films,film,Q11424,Films,1,1970s adventure comedy-drama films|1970s romantic comedy-drama films|1974 Italian-language films|1974 Italian films|1974 adventure films|1974 comedy-drama films|1974 films|1974 romantic comedy films|1974 romantic drama films|BDSM in films|Commedia all'italiana|Films about communism|Films about interclass romance|Films directed by Lina Wertmüller|Films scored by Piero Piccioni|Films set in Italy|Films set in the Mediterranean Sea|Films set on beaches|Films set on uninhabited islands|Films shot in Sardinia|Italian-language adventure comedy films|Italian-language adventure drama films|Italian-language romantic comedy-drama films|Italian adventure comedy films|Italian adventure drama films|Italian romantic comedy-drama films|Medusa Film films,1,27,0,1,1,Films,0,,0.0
Q372,We Live in Public,We_Live_in_Public,films,film|video,Q11424|Q98069877,Films,1,2009 American films|2009 English-language films|2009 documentary films|2009 films|American documentary films|Documentary films about computer and internet entrepreneurs|Documentary films about the Internet|English-language documentary films|Films directed by Ondi Timoner|Sundance Film Festival award–winning films,2,10,0,1,1,Films,0,,0.0
Q593,A Gang Story,A_Gang_Story,films,film,Q11424,Films,1,2010s French film stubs|2011 French films|2011 drama films|2011 films|Films about bank robbery|Films directed by Olivier Marchal|Films set in Lyon|Films set in the 1970s|Films shot in Lyon|French gangster films|French neo-noir films|Gaumont (company) films,1,12,0,1,1,Films,0,,0.0
Q595,The Intouchables,The_Intouchables,films,film,Q11424,Films,1,2010s buddy comedy-drama films|2011 French-language films|2011 French films|2011 comedy-drama films|2011 films|2011 independent films|Films about disability in France|Films about people with paraplegia or tetraplegia|Films directed by Olivier Nakache and Éric Toledano|Films featuring a Best Actor César Award–winning performance|Films featuring a Best Actor Lumières Award–winning performance|Films scored by Ludovico Einaudi|French-language independent films|French buddy comedy-drama films|French independent films|Gaumont (company) films|Satellite Award–winning films,1,17,0,1,1,Films,0,,0.0
Q2201,Kick-Ass,Kick-Ass_(film),films,film,Q11424,Films,1,"2010 American films|2010 British films|2010 English-language films|2010 action comedy films|2010 black comedy films|2010 films|2010s high school films|2010s superhero comedy films|2010s teen comedy films|American action comedy films|American black comedy films|American high school films|American superhero films|American teen comedy films|American vigilante films|British action comedy films|British black comedy films|British films set in New York City|British high school films|British teen comedy films|Cultural depictions of the Mafia|English-language action comedy films|English-language black comedy films|Films about father–daughter relationships|Films based on works by Mark Millar|Films directed by Matthew Vaughn|Films produced by Brad Pitt|Films produced by Matthew Vaughn|Films scored by Henry Jackman|Films scored by Ilan Eshkeri|Films scored by John Murphy (composer)|Films scored by Marius de Vries|Films shot at Elstree Film Studios|Films shot at Pinewood Studios|Films shot in Hamilton, Ontario|Films shot in Hertfordshire|Films shot in London|Films shot in Toronto|Films with screenplays by Jane Goldman|Films with screenplays by Matthew Vaughn|Kick-Ass (franchise)|Lionsgate films|Live-action films based on comics|Mafia films|Obscenity controversies in film|Plan B Entertainment films|Rating controversies in film|Superhero black comedy films|Teen action films|Teen superhero comedy films|Universal Pictures films",1,51,0,1,1,Films,0,,0.0
Q2345,12 Angry Men,12_Angry_Men_(1957_film),films,film,Q11424,Films,1,1950s legal drama films|1957 American films|1957 English-language films|1957 directorial debut films|1957 drama films|1957 films|1957 independent films|American black-and-white films|American courtroom films|American legal drama films|Edgar Award–winning works|Films about capital punishment|Films about discrimination|Films about juries|Films about lawyers|Films about murder|Films based on television plays|Films directed by Sidney Lumet|Films scored by Kenyon Hopkins|Films set in Manhattan|Films with screenplays by Reginald Rose|Golden Bear winners|Twelve Angry Men|United Artists films|United States National Film Registry films,1,25,0,1,1,Films,0,,0.0
Q46361,Lettere di una novizia,Lettere_di_una_novizia,films,film,Q11424,Films,1,1960 Italian-language films|1960 Italian films|1960 drama films|1960 films|1960s Italian drama film stubs|Films based on Italian novels|Films directed by Alberto Lattuada|Italian-language drama films|Italian drama films,1,9,0,1,1,Films,0,,0.0
